pupID,litter,sex,outcome,challenge.time,weight.challenge,weight,ch.weight,pch.weight,time,hr.post.challenge ,visit,score.overall,score.left,score.right,rights.mobile.overall,rights.shakey.overall,rights.lethargic.overall,rights.nonmobile.overall,ftr.one.side.overall,ftr.mobile.hips.over,ftr.lethargic.hips.overall,ftr.lethargic.two.visits.overall,ftr.nonmobile.hips.overall,rights.mobile.left,rights.shakey.left,rights.lethargic.left,rights.nonmobile.left,rights.only.left,ftr.mobile.hips.left,ftr.lethargic.hips.left,ftr.lethargic.two.visits.left,ftr.nonmobile.hips.left,rights.mobile.right,rights.shakey.right,rights.lethargic.right,rights.nonmobile.right,rightss.only.right,ftr.mobile.hips.right,ftr.lethargic.hips.right,ftr.lethargic.two.visits.right,ftr.nonmobile.hips.right,obs.found.dead,observations
2015.08.07_F10_M7 (M)_saline.vacc_old.0.8,3,M,live,2015.08.15 20:40,4.28,4.34,-0.06,-1.401869159,2015.08.16 09:00,12.33333333,v1,8,8,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2015.08.07_F10_M7 (M)_saline.vacc_old.0.8,3,M,live,2015.08.15 20:40,4.28,,,,2015.08.16 12:55,16.25,v2,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F10_M7 (M)_saline.vacc_old.0.8,3,M,live,2015.08.15 20:40,4.28,,,,2015.08.16 17:57,21.28333333,v3,8,8,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2015.08.07_F10_M8 (F)_saline.vacc_old.0.8,3,F,die,2015.08.15 20:40,4.38,4.51,-0.13,-2.96803653,2015.08.16 09:00,12.33333333,v1,8,8,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2015.08.07_F10_M8 (F)_saline.vacc_old.0.8,3,F,die,2015.08.15 20:40,4.38,,,,2015.08.16 12:55,16.25,v2,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F10_M8 (F)_saline.vacc_old.0.8,3,F,die,2015.08.15 20:40,4.38,,,,2015.08.16 17:57,21.28333333,v3,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F6_M1 (M)_saline.vacc_old.0.95,4,M,live,2015.08.15 19:55,4.2,4.18,0.02,0.476190476,2015.08.16 08:41,12.76666667,v1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
2015.08.07_F6_M1 (M)_saline.vacc_old.0.95,4,M,live,2015.08.15 19:55,4.2,,,,2015.08.16 12:30,16.58333333,v2,4,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F6_M1 (M)_saline.vacc_old.0.95,4,M,live,2015.08.15 19:55,4.2,,,,2015.08.16 17:40,21.75,v3,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F6_M2 (M)_saline.vacc_old.0.95,4,M,live,2015.08.15 19:55,4.29,4.19,0.1,2.331002331,2015.08.16 08:41,12.76666667,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F6_M2 (M)_saline.vacc_old.0.95,4,M,live,2015.08.15 19:55,4.29,,,,2015.08.16 12:30,16.58333333,v2,4,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F6_M2 (M)_saline.vacc_old.0.95,4,M,live,2015.08.15 19:55,4.29,,,,2015.08.16 17:40,21.75,v3,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F6_M3 (F)_saline.vacc_old.0.95,4,F,live,2015.08.15 19:55,4.9,4.8,0.1,2.040816327,2015.08.16 08:41,12.76666667,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F6_M3 (F)_saline.vacc_old.0.95,4,F,live,2015.08.15 19:55,4.9,,,,2015.08.16 12:30,16.58333333,v2,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F6_M3 (F)_saline.vacc_old.0.95,4,F,live,2015.08.15 19:55,4.9,,,,2015.08.16 17:40,21.75,v3,8,8,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2015.08.07_F6_M4 (M)_saline.vacc_old.0.8,4,M,live,2015.08.15 19:55,4.81,4.64,0.17,3.534303534,2015.08.16 08:41,12.76666667,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F6_M4 (M)_saline.vacc_old.0.8,4,M,live,2015.08.15 19:55,4.81,,,,2015.08.16 12:30,16.58333333,v2,4,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,
2015.08.07_F6_M4 (M)_saline.vacc_old.0.8,4,M,live,2015.08.15 19:55,4.81,,,,2015.08.16 17:40,21.75,v3,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
